n,k,dim,rank,N,mu_min
188,2,17579,1336,2260,0.3876456442
189,2,17579,1339,2272,0.3374631159
190,2,17579,1347,2284,0.0249227303
191,2,17579,1351,2296,0.0080014803
192,2,17956,1354,2308,0.4484383509
193,2,17956,1359,2320,0.3601014014
194,2,18146,1367,2332,0.0656320212
195,2,18337,1371,2344,0.4563066974
196,2,18337,1376,2356,0.0018800570
197,2,18529,1379,2368,0.0001441823
198,2,18722,1384,2380,0.4651937423
199,2,18916,1391,2392,0.2799626976
200,2,19111,1396,2404,0.3186652927
201,2,19111,1398,2416,0.3122296988
202,2,19307,1404,2428,0.4115925776
203,2,19504,1407,2440,0.5759469464
204,2,19702,1414,2452,0.0176605956
205,2,20101,1418,2464,0.0005966623
206,2,20302,1427,2476,0.3312703480
207,2,20302,1429,2488,0.5303999949
208,2,20504,1433,2500,0.4480957812
209,2,20504,1437,2512,0.3328061031
210,2,20707,1442,2524,0.0004182146
211,2,20707,1448,2536,0.0428833495
212,2,20707,1452,2548,0.3757768551
213,2,21116,1456,2560,0.4951011677
214,2,21322,1460,2572,0.3576181096
215,2,21737,1464,2584,0.5805868518
216,2,21946,1471,2596,0.4422833292
217,2,22367,1474,2608,0.5783429521
218,2,22579,1480,2620,0.4623755511
219,2,22579,1486,2632,0.1979114677
220,2,23006,1489,2644,0.3114973196
221,2,23221,1494,2656,0.5315415885
222,2,23221,1497,2668,0.1009461736
223,2,23221,1504,2680,0.3795637865
224,2,23221,1508,2692,0.2686058076
225,2,23221,1512,2704,0.0438203854
226,2,23221,1516,2716,0.1507180518
227,2,23437,1519,2728,0.3396426600
228,2,23654,1528,2740,0.1127097032
229,2,23872,1530,2752,0.1978488084
230,2,24091,1535,2764,0.3320554037
231,2,24091,1540,2776,0.4510821824
232,2,24091,1543,2788,0.0006893917
233,2,24311,1548,2800,0.0002104441
234,2,24311,1552,2812,0.5373451700
235,2,24532,1557,2824,0.4462754316
236,2,24532,1563,2836,0.3508221342
237,2,24754,1567,2848,0.5688414123
238,2,25201,1571,2860,0.1087001546
239,2,25426,1577,2872,0.4328869233
240,2,25652,1579,2884,0.0077504439
241,2,25879,1586,2896,0.6158459854
242,2,26336,1589,2908,0.0609328432
243,2,26566,1592,2920,0.4217514651
244,2,26566,1595,2932,0.4801969413
245,2,26797,1603,2944,0.0595740299
246,2,26797,1607,2956,0.1930209498
247,2,27262,1610,2968,0.4687896862
248,2,27731,1614,2980,0.0005409452
249,2,27967,1622,2992,0.1255056487
250,2,28204,1625,3004,0.3979378189
251,2,28204,1629,3016,0.5939540055
252,2,28442,1632,3028,0.0002720630
253,2,28442,1636,3040,0.5536284514
254,2,28681,1642,3052,0.6246045249
255,2,28921,1645,3064,0.0422266429
256,2,28921,1649,3076,0.4347811257
257,2,29162,1654,3088,0.2648803207
258,2,29404,1659,3100,0.4990729871
259,2,29647,1663,3112,0.4696140664
260,2,29891,1664,3124,0.3210719655
261,2,30136,1671,3136,0.4234998117
262,2,30382,1674,3148,0.3245165578
263,2,30629,1678,3160,0.1205377858
264,2,30877,1685,3172,0.4310648219
