n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
86  | 0.680      | 5.06625387e+11 | 2.14780137e+11 | 0.4239         | True
87  | 0.470      | 3.72374904e+09 | 3.91735248e+09 | 1.0520         | False
88  | 0.860      | 4.28742295e+12 | 3.56923276e+12 | 0.8325         | True
89  | 0.390      | 1.02092841e+09 | 1.30061819e+09 | 1.2740         | False
90  | 0.480      | 4.96042740e+09 | 5.77008968e+09 | 1.1632         | False
91  | 0.580      | 2.79329929e+10 | 2.85957309e+10 | 1.0237         | False
92  | 0.250      | 1.37712268e+07 | 1.51421434e+07 | 1.0995         | False
93  | 0.620      | 6.62061926e+10 | 6.43866775e+10 | 0.9725         | True
94  | 0.430      | 1.64696156e+09 | 1.58845572e+09 | 0.9645         | True
95  | 0.460      | 5.64982652e+09 | 5.28498123e+09 | 0.9354         | True
96  | 0.300      | 6.21315997e+07 | 6.99744552e+07 | 1.1262         | False
97  | 0.540      | 1.67872590e+10 | 1.49810195e+10 | 0.8924         | True
98  | 0.660      | 3.55303212e+11 | 4.06296571e+11 | 1.1435         | False
99  | 0.520      | 1.85112899e+10 | 1.78779600e+10 | 0.9658         | True
100 | 0.100      | 37257.6261     | 54951.3591     | 1.4749         | False
101 | 0.610      | 2.21952046e+11 | 2.76803739e+11 | 1.2471         | False
102 | 0.470      | 9.97411409e+09 | 1.09362135e+10 | 1.0965         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=14)
--------------------------------------------------------------------------------
2   | 2.000      | 8.15493185e+07 | 1.62013712e+07 | 0.1987         | True
3   | 2.000      | 8.69125990e+09 | 1.11048254e+08 | 0.0128         | True
4   | 1.200      | 5578883.6924   | 434386.7827    | 0.0779         | True
5   | 0.210      | 627.1869       | 354.1323       | 0.5646         | True
6   | 1.800      | 3.20422957e+10 | 8.58163556e+09 | 0.2678         | True
7   | 0.790      | 8095537.7025   | 7162201.8157   | 0.8847         | True
8   | 1.870      | 7.73117360e+12 | 1.10332931e+11 | 0.0143         | True
9   | 1.490      | 2.75474819e+11 | 4.98702555e+10 | 0.1810         | True
10  | 1.550      | 2.39447581e+11 | 1.57267225e+11 | 0.6568         | True
11  | 0.310      | 49533.7831     | 43738.3287     | 0.8830         | True
12  | 1.160      | 5.13696120e+10 | 2.12581403e+10 | 0.4138         | True
13  | 1.070      | 1.47747009e+10 | 1.51697492e+09 | 0.1027         | True
14  | 0.910      | 7.79798967e+09 | 1.92915418e+09 | 0.2474         | True
15  | 0.700      | 8.26362612e+08 | 9.08411715e+08 | 1.0993         | False
16  | 0.180      | 13622.5764     | 11546.4747     | 0.8476         | True
17  | 1.100      | 5.48799686e+11 | 1.41414230e+11 | 0.2577         | True
18  | 1.810      | 1.85538511e+14 | 1.65406128e+13 | 0.0891         | True
19  | 0.220      | 87513.9747     | 84422.9395     | 0.9647         | True
20  | 0.320      | 723957.6444    | 673570.3999    | 0.9304         | True
21  | 0.090      | 965.6150       | 1298.5409      | 1.3448         | False
22  | 0.180      | 19211.0871     | 19554.3544     | 1.0179         | False
23  | 0.620      | 8.36440534e+08 | 6.68576390e+08 | 0.7993         | True
24  | 0.080      | 1136.3504      | 1453.7047      | 1.2793         | False
25  | 0.350      | 8945640.0079   | 8116091.1932   | 0.9073         | True
26  | 0.650      | 5.20474422e+09 | 5.08334016e+09 | 0.9767         | True
27  | 0.120      | 7063.0801      | 7331.8410      | 1.0381         | False
28  | 0.090      | 1644.4976      | 2496.6989      | 1.5182         | False
29  | 0.270      | 1104697.4009   | 1077211.0888   | 0.9751         | True
30  | 0.930      | 1.39189207e+12 | 4.60899492e+11 | 0.3311         | True
31  | 0.870      | 2.41344925e+11 | 2.24401643e+11 | 0.9298         | True
